Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,Pos2,stats_id,value_id
1,Max Aarons,ENG,1,Norwich City,Premier League,22.0,34,32,2881,0.0,0.41,0.06,15.4,0.0,20.5,0.0,0.0,0.0,34.0,75.5,90.0,77.0,45.2,0.06,1.13,0.25,45.0,0.84,5.41,0.59,1.41,0.0,4.91,29.0,1.63,1.19,0.16,1.56,0.59,0.0,1.16,63.8,13.6,2.69,0.69,0.03,1.75,3.91,5.06,23.3,23.8,15.0,1.03,2.44,42.3,33.9,199.4,121.7,0.94,32.4,89.9,0.25,0.0,0.0,0.97,1.84,0.03,1.41,0.06,0.03,0.47,1.59,22.7,,1,1
2,Yunis Abdelhamid,MAR,1,Reims,Ligue 1,34.0,34,34,2983,0.06,0.54,0.18,33.3,0.11,18.7,0.0,0.0,0.0,38.7,82.4,89.9,89.4,61.7,0.0,0.18,0.0,47.0,2.45,5.68,1.66,0.06,0.0,31.7,12.1,1.24,0.63,0.03,1.24,0.6,0.03,0.39,48.1,13.6,1.87,0.79,0.06,3.11,4.98,8.28,32.8,25.7,2.9,0.48,0.66,72.7,35.7,204.7,115.5,0.39,36.3,96.9,0.15,0.03,0.0,1.3,0.73,0.0,0.06,0.03,0.0,2.02,1.36,59.8,,2,2
3,Salis Abdul Samed,GHA,2,Clermont Foot,Ligue 1,22.0,31,29,2462,0.04,0.66,0.18,27.8,0.06,20.3,0.0,0.0,0.0,55.9,91.7,93.5,94.9,86.0,0.0,0.47,0.04,61.0,0.58,8.03,0.8,0.36,0.0,4.82,53.1,1.24,1.46,0.04,0.91,0.91,0.18,0.69,32.2,23.4,0.99,0.04,0.0,1.86,3.87,2.01,22.7,41.8,10.9,0.99,1.53,64.3,53.5,246.5,106.3,1.46,54.2,92.5,0.44,0.11,0.07,1.64,1.28,0.0,0.36,0.0,0.0,0.88,0.88,50.0,,3,3
4,Laurent Abergel,FRA,2,Lorient,Ligue 1,29.0,34,34,2956,0.0,0.91,0.21,23.3,0.0,22.6,0.0,0.0,0.0,40.7,81.6,88.6,87.9,66.6,0.06,0.58,0.18,49.8,0.64,9.48,1.49,0.79,0.03,4.48,43.9,1.83,2.01,0.15,1.49,1.71,0.37,1.8,36.2,28.0,1.68,0.09,0.0,2.56,6.13,0.67,13.7,40.3,11.6,1.28,1.98,64.6,45.7,171.9,86.4,1.46,43.0,93.0,0.27,0.0,0.0,1.4,2.07,0.03,0.79,0.0,0.0,0.43,0.43,50.0,,4,4
5,Charles Abi,FRA,3,Saint-Étienne,Ligue 1,22.0,1,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,50.0,33.3,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,2.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0,18.0,118.0,18.0,0.0,16.0,66.7,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,100.0,,5,5
6,Dickson Abiama,NGA,3,Greuther Fürth,Bundesliga,23.0,24,5,726,0.0,2.22,0.49,22.2,0.0,15.6,0.0,0.0,0.0,11.1,64.7,69.2,65.8,50.0,0.12,0.74,0.0,17.2,0.12,5.19,0.25,0.25,0.0,3.33,9.38,0.62,2.47,0.25,0.37,0.86,0.49,0.25,18.2,23.5,1.23,0.37,0.0,0.99,2.72,1.11,3.46,15.6,15.6,0.74,2.22,33.3,19.0,74.7,40.2,1.36,21.1,51.0,0.37,0.0,0.0,2.22,1.48,1.85,0.25,0.0,0.0,2.72,4.94,35.5,,6,6
7,Matthis Abline,FRA,3,Rennes,Ligue 1,19.0,7,1,103,0.0,1.82,0.0,0.0,0.0,8.6,0.0,0.0,0.0,7.27,80.0,66.7,100.0,0.0,0.0,0.91,0.0,9.09,0.0,3.64,0.0,0.91,0.0,2.73,6.36,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,23.6,1.82,0.0,0.0,0.91,0.91,1.82,1.82,10.0,10.9,0.91,1.82,50.0,16.4,61.8,31.8,4.55,11.8,33.3,0.0,0.0,0.0,1.82,0.91,0.0,0.91,0.0,0.0,0.0,1.82,0.0,,7,7
8,Tammy Abraham,ENG,3,Roma,Serie A,24.0,37,36,3084,0.5,2.71,0.93,34.4,0.15,12.2,0.06,0.09,0.09,14.6,72.0,76.2,69.2,80.0,0.12,0.82,0.12,20.2,0.17,5.92,0.32,0.7,0.0,1.84,14.1,1.02,2.33,0.35,0.29,0.44,0.26,0.29,43.5,13.6,0.96,0.32,0.0,0.44,1.43,0.96,2.54,16.3,15.2,1.08,2.22,48.7,18.0,76.8,39.4,1.28,22.4,54.3,0.26,0.0,0.0,1.25,1.46,0.5,0.7,0.03,0.0,2.39,2.89,45.3,,8,8
9,Luis Abram,PER,1,Granada,La Liga,26.0,8,6,560,0.0,0.32,0.0,0.0,0.0,7.0,0.0,0.0,0.0,31.3,88.2,91.3,92.7,75.0,0.0,0.0,0.0,35.5,0.81,1.61,1.13,0.0,0.0,29.2,3.55,0.32,0.48,0.16,0.81,0.16,0.16,0.48,75.0,5.65,2.1,0.81,0.32,1.77,2.9,10.2,30.0,18.2,1.13,0.0,0.0,0.0,25.2,129.5,77.1,0.0,29.4,97.3,0.32,0.0,0.0,0.81,0.81,0.0,0.0,0.0,0.16,1.94,2.42,44.4,,9,9
10,Francesco Acerbi,ITA,1,Lazio,Serie A,34.0,30,29,2536,0.14,0.57,0.25,43.8,0.25,9.2,0.0,0.0,0.0,64.3,90.3,93.1,94.4,77.1,0.0,0.21,0.0,71.1,2.2,5.96,2.66,0.04,0.0,54.1,12.2,0.85,0.64,0.07,0.64,0.32,0.0,0.32,45.0,5.85,1.7,1.06,0.0,1.7,2.66,12.3,42.0,41.4,2.3,0.11,0.14,75.0,52.4,284.8,161.6,0.11,57.8,98.3,0.07,0.04,0.0,0.71,0.67,0.14,0.04,0.0,0.0,2.84,1.6,64.0,,10,10
11,Ragnar Ache,GER,2,Eint Frankfurt,Bundesliga,23.0,13,1,259,0.0,3.79,0.69,18.2,0.0,15.8,0.0,0.0,0.0,14.5,59.2,62.9,63.0,33.3,0.34,0.69,0.69,24.5,0.0,8.97,0.34,2.07,0.0,4.14,12.1,1.38,1.72,0.34,0.0,0.34,0.34,0.69,66.7,23.8,1.03,0.0,0.0,0.0,0.69,0.34,2.76,20.3,24.8,1.38,2.76,50.0,26.9,150.7,96.2,2.76,34.8,60.8,0.0,0.0,0.0,2.07,2.76,2.07,2.07,0.0,0.0,6.9,3.79,64.5,FW,11,11
12,Mohamed Achi,FRA,2,Nantes,Ligue 1,20.0,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,30.0,20.0,0.0,0.0,0.0,40.0,170.0,100.0,0.0,40.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12,12
13,Marcos Acuña,ARG,1,Sevilla,La Liga,30.0,31,26,2260,0.04,0.68,0.2,29.4,0.06,22.1,0.04,0.0,0.0,62.3,79.4,93.1,84.9,58.0,0.12,1.67,0.92,78.5,2.39,6.77,4.22,4.94,1.59,58.5,7.69,2.47,2.63,0.12,1.31,0.6,0.4,0.84,60.0,11.7,1.43,0.16,0.0,1.24,3.55,2.75,27.5,41.3,25.6,1.79,2.59,69.2,59.4,292.9,178.4,1.08,59.2,95.3,0.4,0.0,0.0,1.63,2.15,0.0,4.94,0.04,0.0,1.31,1.47,47.1,,13,13
14,Che Adams,SCO,3,Southampton,Premier League,25.0,30,23,2039,0.31,2.16,1.06,49.0,0.14,12.9,0.0,0.0,0.0,14.8,69.6,77.9,74.8,56.6,0.13,0.57,0.04,21.3,0.0,6.04,0.44,0.48,0.0,1.94,15.4,1.15,2.25,0.18,0.18,0.26,0.26,0.09,13.3,14.6,1.1,0.18,0.0,0.44,1.15,1.19,4.1,14.6,16.5,0.62,1.45,42.4,20.9,83.0,36.7,2.11,23.9,52.9,0.0,0.0,0.0,1.37,2.07,0.31,0.48,0.0,0.0,2.47,4.89,33.5,,14,14
15,Tyler Adams,USA,2,RB Leipzig,Bundesliga,23.0,24,12,1351,0.0,0.13,0.0,0.0,0.0,19.4,0.0,0.0,0.0,52.8,86.7,91.3,89.8,72.3,0.07,0.67,0.0,60.9,1.67,10.1,0.4,0.2,0.0,8.67,46.8,1.6,1.67,0.27,0.4,1.13,0.2,0.53,28.6,21.7,2.13,0.07,0.0,1.53,3.27,1.93,15.2,47.9,12.7,0.67,1.13,58.8,48.0,229.6,116.7,1.13,49.4,92.4,0.33,0.0,0.0,1.33,1.2,0.0,0.2,0.0,0.0,1.53,0.8,65.7,,15,15
16,Sargis Adamyan,ARM,3,Hoffenheim,Bundesliga,29.0,13,2,331,0.27,0.81,0.54,66.7,0.33,16.7,0.0,0.0,0.0,19.7,74.5,84.4,76.3,62.5,0.0,1.08,0.54,26.5,0.0,7.3,0.0,1.62,0.0,5.14,15.9,1.35,2.97,0.27,2.16,1.08,0.27,1.35,38.5,21.9,1.35,0.0,0.0,0.81,4.32,1.08,7.3,18.1,17.8,1.62,2.43,66.7,28.1,136.2,55.9,3.51,25.9,63.2,0.0,0.0,0.0,1.62,2.43,1.08,1.62,0.0,0.0,1.35,3.51,27.8,MF,16,16
17,Martin Adeline,FRA,2,Reims,Ligue 1,18.0,8,2,352,0.0,1.03,0.26,25.0,0.0,10.8,0.0,0.0,0.0,27.4,73.3,80.0,80.0,60.0,0.0,0.51,0.0,37.4,0.51,12.6,0.26,0.51,1.03,6.41,29.7,3.08,2.05,0.0,2.05,1.28,0.26,1.28,33.3,26.2,1.03,0.0,0.0,3.59,7.18,2.31,13.1,23.6,15.6,0.77,1.28,60.0,31.0,160.3,76.9,0.77,27.4,79.9,0.26,0.0,0.0,4.1,0.51,0.0,0.51,0.0,0.0,0.51,2.05,20.0,FW,17,17
18,Amine Adli,FRA,3,Leverkusen,Bundesliga,22.0,25,13,1256,0.21,2.71,1.36,50.0,0.08,15.3,0.0,0.0,0.0,28.0,75.4,84.1,75.1,45.2,0.14,1.14,0.57,37.1,0.14,8.21,0.36,1.86,0.14,29.9,4.29,2.79,3.36,0.5,1.0,1.29,0.43,1.21,58.6,21.4,2.5,0.29,0.0,1.21,3.93,0.71,8.93,28.6,20.8,1.71,3.21,53.3,40.1,224.8,136.9,2.36,39.0,74.5,0.21,0.0,0.0,1.93,2.29,0.57,1.86,0.0,0.0,1.36,2.5,35.2,MF,18,18
19,Yacine Adli,FRA,2,Bordeaux,Ligue 1,21.0,36,25,2260,0.04,1.31,0.6,45.5,0.03,19.9,0.16,0.0,0.0,36.3,73.6,84.5,81.5,56.8,0.28,1.55,0.16,49.3,1.71,7.85,3.63,1.55,2.67,5.02,42.0,2.39,4.1,0.52,1.04,0.68,0.2,0.6,22.4,24.9,1.63,0.12,0.0,2.15,4.06,1.12,11.6,34.3,20.7,1.75,3.15,55.7,43.2,240.4,124.0,2.59,43.6,85.9,0.2,0.0,0.0,1.08,1.31,0.16,1.55,0.0,0.0,0.96,0.8,54.5,FW,19,19
20,Michel Aebischer,SUI,2,Bologna,Serie A,25.0,12,4,443,0.0,0.41,0.41,100.0,0.0,20.8,0.0,0.0,0.0,44.1,88.9,95.4,90.3,66.7,0.0,1.02,0.2,49.6,1.43,8.78,2.04,0.41,1.43,7.55,39.4,1.02,1.84,0.0,1.22,1.43,0.41,1.02,50.0,26.1,1.02,0.0,0.0,1.02,4.08,2.65,13.1,32.4,13.7,0.2,0.61,33.3,38.8,150.0,70.2,1.43,40.4,90.8,0.2,0.0,0.0,2.86,0.82,0.0,0.41,0.0,0.0,1.22,1.63,42.9,,20,20
21,Felix Afena-Gyan,GHA,3,Roma,Serie A,19.0,17,6,668,0.27,2.43,0.95,38.9,0.11,15.0,0.0,0.0,0.0,16.9,76.2,81.1,80.8,55.6,0.0,0.81,0.27,22.2,0.14,3.38,0.54,1.08,0.0,1.35,18.9,1.35,3.24,0.41,0.14,0.81,0.14,0.54,44.4,30.0,0.68,0.0,0.0,0.68,1.76,0.0,2.97,17.0,25.9,1.22,3.11,39.1,32.7,159.9,103.9,4.32,29.7,59.1,0.68,0.14,0.14,2.03,3.51,0.54,1.08,0.0,0.0,1.22,2.43,33.3,MF,21,21
