,Player,Nation,Pos,Squad,Comp,Age
0,Max Aarons,ENG,1,Norwich City,Premier League,22
1,Yunis Abdelhamid,MAR,1,Reims,Ligue 1,34
2,Salis Abdul Samed,GHA,2,Clermont Foot,Ligue 1,22
3,Laurent Abergel,FRA,2,Lorient,Ligue 1,29
4,Charles Abi,FRA,3,Saint-Étienne,Ligue 1,22
5,Dickson Abiama,NGA,3,Greuther Fürth,Bundesliga,23
6,Matthis Abline,FRA,3,Rennes,Ligue 1,19
7,Tammy Abraham,ENG,3,Roma,Serie A,24
8,Luis Abram,PER,1,Granada,La Liga,26
9,Francesco Acerbi,ITA,1,Lazio,Serie A,34
10,Ragnar Ache,GER,2,Eint Frankfurt,Bundesliga,23
11,Mohamed Achi,FRA,2,Nantes,Ligue 1,20
12,Marcos Acuña,ARG,1,Sevilla,La Liga,30
13,Che Adams,SCO,3,Southampton,Premier League,25
14,Tyler Adams,USA,2,RB Leipzig,Bundesliga,23
15,Sargis Adamyan,ARM,3,Hoffenheim,Bundesliga,29
16,Martin Adeline,FRA,2,Reims,Ligue 1,18
17,Amine Adli,FRA,3,Leverkusen,Bundesliga,22
18,Yacine Adli,FRA,2,Bordeaux,Ligue 1,21
19,Michel Aebischer,SUI,2,Bologna,Serie A,25
20,Felix Afena-Gyan,GHA,3,Roma,Serie A,19
21,Martin Agirregabiria,ESP,1,Alavés,La Liga,26
22,Julen Agirrezabala,ESP,4,Athletic Club,La Liga,21
23,Lucien Agoume,FRA,2,Brest,Ligue 1,20
24,Kevin Agudelo,COL,2,Spezia,Serie A,23
25,Nayef Aguerd,MAR,1,Rennes,Ligue 1,26
26,Sergio Agüero,ARG,3,Barcelona,La Liga,33
27,Ruben Aguilar,FRA,1,Monaco,Ligue 1,29
28,Álvaro Aguirre,ESP,3,Rayo Vallecano,La Liga,22
29,Naouirou Ahamada,FRA,2,Stuttgart,Bundesliga,20
30,Anel Ahmedhodzic,BIH,1,Bordeaux,Ligue 1,23
31,Jean-Eudes Aholou,CIV,2,Strasbourg,Ligue 1,28
32,Joseph Aidoo,GHA,1,Celta Vigo,La Liga,26
33,Ola Aina,NGA,1,Torino,Serie A,25
34,Rayan Aït Nouri,FRA,1,Wolves,Premier League,20
35,Kristoffer Ajer,NOR,1,Brentford,Premier League,24
36,Ludovic Ajorque,REU,3,Strasbourg,Ligue 1,28
37,Manuel Akanji,SUI,1,Dortmund,Bundesliga,26
38,Carlos Akapo,EQG,1,Cádiz,La Liga,29
39,Marley Aké,FRA,2,Juventus,Serie A,21
40,Nathan Aké,NED,1,Manchester City,Premier League,27
41,Ilias Akhomach,ESP,3,Barcelona,La Liga,18
42,Maghnes Akliouche,FRA,2,Monaco,Ligue 1,20
43,Paul Akouokou,CIV,2,Betis,La Liga,24
44,Jean-Daniel Akpa-Akpro,CIV,2,Lazio,Serie A,29
45,Kevin Akpoguma,NGA,1,Hoffenheim,Bundesliga,27
46,David Alaba,AUT,1,Real Madrid,La Liga,29
47,Sofiane Alakouch,MAR,1,Metz,Ligue 1,23
48,Tomás Alarcón,CHI,2,Cádiz,La Liga,23
49,Lucas Alario,ARG,3,Leverkusen,Bundesliga,29
50,Jordi Alba,ESP,1,Barcelona,La Liga,33
51,Josué Albert,GUF,1,Clermont Foot,Ligue 1,30
52,Luis Alberto,ESP,2,Lazio,Serie A,29
53,Raúl Albiol,ESP,1,Villarreal,La Liga,36
54,Marc Albrighton,ENG,3,Leicester City,Premier League,32
55,Paco Alcácer,ESP,3,Villarreal,La Liga,28
56,Thiago Alcántara,ESP,2,Liverpool,Premier League,31
57,Rubén Alcaraz,ESP,2,Cádiz,La Liga,31
58,Omar Alderete,PAR,1,Valencia,La Liga,25
59,Iván Alejo,ESP,2,Cádiz,La Liga,27
60,Doðan Alemdar,TUR,4,Rennes,Ligue 1,19
61,Carles Aleñá,ESP,2,Getafe,La Liga,24
62,Trent Alexander-Arnold,ENG,1,Liverpool,Premier League,23
63,Mircea Alexandru Tirlea,ROU,1,Alavés,La Liga,22
64,Mohamed Ali Cho,FRA,3,Angers,Ligue 1,18
65,Alisson,BRA,4,Liverpool,Premier League,29
66,Allan,BRA,2,Everton,Premier League,31
67,Jim Allevinah,GAB,3,Clermont Foot,Ligue 1,27
68,Dele Alli,ENG,2,Everton,Premier League,26
69,Dele Alli,ENG,2,Tottenham,Premier League,26
70,Miguel Almirón,PAR,2,Newcastle Utd,Premier League,28
71,Marcos Alonso,ESP,1,Chelsea,Premier League,31
72,Giorgio Altare,ITA,1,Cagliari,Serie A,23
73,Hugo Álvarez,ESP,3,Celta Vigo,La Liga,36
74,Yeray Álvarez,ESP,1,Athletic Club,La Liga,27
75,Dani Alves,BRA,1,Barcelona,La Liga,39
76,Steven Alzate,COL,2,Brighton,Premier League,23
77,Ibrahim Amadou,FRA,1,Metz,Ligue 1,29
78,Emmanuel Amankwaa Akurugu,GHA,1,Getafe,La Liga,20
79,Daniel Amartey,GHA,1,Leicester City,Premier League,27
80,Amath,SEN,3,Mallorca,La Liga,25
81,Jordan Amavi,FRA,1,Marseille,Ligue 1,28
82,Jordan Amavi,FRA,1,Nice,Ligue 1,28
83,Wisdom Amey,ITA,1,Bologna,Serie A,16
84,Kelvin Amian,FRA,1,Spezia,Serie A,24
85,Nadiem Amiri,GER,2,Genoa,Serie A,25
86,Nadiem Amiri,GER,2,Leverkusen,Bundesliga,25
87,Ethan Ampadu,WAL,2,Venezia,Serie A,21
88,Sofyan Amrabat,MAR,2,Fiorentina,Serie A,25
89,Joachim Andersen,DEN,1,Crystal Palace,Premier League,25
90,Felipe Anderson,BRA,3,Lazio,Serie A,29
91,Sebastian Andersson,SWE,3,Köln,Bundesliga,30
92,Florin Andone,ROU,3,Cádiz,La Liga,29
93,Andrés Andrade Cedeño,PAN,1,Arminia,Bundesliga,23
94,Fredrik André Bjørkan,NOR,1,Hertha BSC,Bundesliga,23
95,Benjamin André,FRA,2,Lille,Ligue 1,31
96,Robert Andrich,GER,2,Leverkusen,Bundesliga,27
97,José Ángel,ESP,1,Osasuna,La Liga,32
98,Angeliño,ESP,1,RB Leipzig,Bundesliga,25
99,Ebenezer Annan,GHA,1,Bologna,Serie A,19
100,Cristian Ansaldi,ARG,1,Torino,Serie A,35
101,Janis Antiste,FRA,3,Spezia,Serie A,19
102,Waldemar Anton,GER,1,Stuttgart,Bundesliga,25
103,Josep Antoni Gayá,ESP,1,Mallorca,La Liga,21
104,Michail Antonio,JAM,3,West Ham,Premier League,32
105,Christopher Antwi-Adjei,GHA,3,Bochum,Bundesliga,28
106,Houssem Aouar,FRA,2,Lyon,Ligue 1,23
107,Adil Aouchiche,FRA,2,Saint-Étienne,Ligue 1,19
108,Dennis Appiah,FRA,1,Nantes,Ligue 1,29
109,Mauro Arambarri,URU,2,Getafe,La Liga,26
110,Mattia Aramu,ITA,2,Venezia,Serie A,27
111,Charles Aránguiz,CHI,2,Leverkusen,Bundesliga,33
112,Néstor Araujo,MEX,1,Celta Vigo,La Liga,30
113,Ronald Araújo,URU,1,Barcelona,La Liga,23
114,Cameron Archer,ENG,2,Aston Villa,Premier League,20
115,Alphonse Areola,FRA,4,West Ham,Premier League,29
116,Jesús Areso,ESP,1,Osasuna,La Liga,22
117,Matias Arezo,URU,3,Granada,La Liga,19
118,Santiago Arias,COL,1,Granada,La Liga,30
119,Adam Armstrong,ENG,3,Southampton,Premier League,25
120,Stuart Armstrong,SCO,2,Southampton,Premier League,30
121,Marko Arnautovi?,AUT,3,Bologna,Serie A,33
122,Maximilian Arnold,GER,2,Wolfsburg,Bundesliga,28
123,Kepa Arrizabalaga,ESP,4,Chelsea,Premier League,27
124,Tolgay Arslan,GER,2,Udinese,Serie A,31
125,Arthur,BRA,3,Fiorentina,Serie A,24
126,Santiago Arzamendia,PAR,2,Cádiz,La Liga,24
127,Takuma Asano,JPN,3,Bochum,Bundesliga,27
128,Santiago Ascacíbar,ARG,2,Hertha BSC,Bundesliga,25
129,Sergio Asenjo,ESP,4,Villarreal,La Liga,32
130,Alejandro Asensio,ESP,3,Rayo Vallecano,La Liga,21
131,Marco Asensio,ESP,3,Real Madrid,La Liga,26
132,Harrison Ashby,SCO,1,West Ham,Premier League,20
133,Kristoffer Askildsen,NOR,2,Sampdoria,Serie A,21
134,Fisnik Asllani,KVX,2,Hoffenheim,Bundesliga,19
135,Kristjan Asllani,ALB,2,Empoli,Serie A,20
136,Iago Aspas,ESP,3,Celta Vigo,La Liga,34
137,Lorenz Assignon,TOG,1,Rennes,Ligue 1,21
138,Simon Asta,GER,1,Greuther Fürth,Bundesliga,21
139,Youcef Atal,ALG,1,Nice,Ligue 1,26
140,Pierre-Emerick Aubameyang,GAB,3,Barcelona,La Liga,32
141,Pierre-Emerick Aubameyang,GAB,3,Arsenal,Premier League,32
142,Emil Audero,ITA,4,Sampdoria,Serie A,25
143,Tommaso Augello,ITA,1,Sampdoria,Serie A,27
144,Jean-Kévin Augustin,FRA,3,Nantes,Ligue 1,24
145,Ludwig Augustinsson,SWE,1,Sevilla,La Liga,28
146,Serge Aurier,CIV,1,Villarreal,La Liga,29
147,Ezequiel Ávila,ARG,3,Osasuna,La Liga,28
148,Taiwo Awoniyi,NGA,3,Union Berlin,Bundesliga,24
149,Ramzi Aya,ITA,1,Salernitana,Serie A,31
150,Jordan Ayew,GHA,3,Crystal Palace,Premier League,30
151,Kaan Ayhan,TUR,1,Sassuolo,Serie A,27
152,Luke Ayling,ENG,1,Leeds United,Premier League,30
153,Karim Azamoum,FRA,1,Troyes,Ligue 1,32
154,Sardar Azmoun,IRN,3,Leverkusen,Bundesliga,27
155,César Azpilicueta,ESP,1,Chelsea,Premier League,32
156,Iddrisu Baba,GHA,2,Mallorca,La Liga,26
157,Carlos Bacca,COL,3,Granada,La Liga,35
158,Daniel Bachmann,AUT,4,Watford,Premier League,27
159,Loïc Bade,FRA,1,Rennes,Ligue 1,22
160,Milan Badelj,CRO,2,Genoa,Serie A,33
161,Édgar Badía,ESP,4,Elche,La Liga,30
162,Benoît Badiashile,FRA,1,Monaco,Ligue 1,21
163,Youssouph Badji,SEN,3,Brest,Ligue 1,20
164,Miguel Baeza,ESP,1,Celta Vigo,La Liga,22
165,Nicola Bagnolini,ITA,4,Bologna,Serie A,18
166,Issa Bah,LUX,3,Venezia,Serie A,19
167,Stéphane Bahoken,CMR,3,Angers,Ligue 1,30
168,Leon Bailey,JAM,3,Aston Villa,Premier League,24
169,Eric Bailly,CIV,1,Manchester Utd,Premier League,28
170,Dénys Bain,FRA,1,Brest,Ligue 1,28
171,Stefan Bajic,FRA,4,Saint-Étienne,Ligue 1,20
172,Nedim Bajrami,ALB,2,Empoli,Serie A,23
173,Cédric Bakambu,COD,3,Marseille,Ligue 1,31
174,Abdoulaye Bakayoko,FRA,1,Saint-Étienne,Ligue 1,19
175,Tiemoué Bakayoko,FRA,2,Milan,Serie A,27
176,Mitchel Bakker,NED,1,Leverkusen,Bundesliga,21
177,Ridle Baku,GER,1,Wolfsburg,Bundesliga,24
178,Dilane Bakwa,FRA,3,Bordeaux,Ligue 1,19
179,Tommaso Baldanzi,ITA,3,Empoli,Serie A,19
180,Alejandro Balde,ESP,1,Barcelona,La Liga,18
181,Ibrahima Baldé,FRA,3,Lens,Ligue 1,19
182,Keita Baldé,SEN,3,Cagliari,Serie A,27
183,Gareth Bale,WAL,3,Real Madrid,La Liga,32
184,Mikel Balenziaga,ESP,1,Athletic Club,La Liga,34
185,Leonardo Balerdi,ARG,1,Marseille,Ligue 1,23
186,Iván Balliu,ALB,1,Rayo Vallecano,La Liga,30
187,Fodé Ballo-Touré,SEN,1,Milan,Serie A,25
188,Folarin Balogun,ENG,3,Arsenal,Premier League,20
189,Abdoulaye Bamba,CIV,1,Angers,Ligue 1,32
190,Jonathan Bamba,FRA,2,Lille,Ligue 1,26
191,Patrick Bamford,ENG,3,Leeds United,Premier League,28
192,Filippo Bandinelli,ITA,2,Empoli,Serie A,27
193,Mattia Bani,ITA,1,Genoa,Serie A,28
194,Simon Banza,FRA,3,Lens,Ligue 1,25
195,Shandon Baptiste,GRN,2,Brentford,Premier League,24
196,Antonín Barák,CZE,3,Hellas Verona,Serie A,27
197,Barbero,ESP,2,Osasuna,La Liga,23
198,Danilo Barbosa,BRA,1,Nice,Ligue 1,26
199,Barcia,ESP,1,Granada,La Liga,21
200,Bradley Barcola,FRA,3,Lyon,Ligue 1,19
201,Melvin Bard,FRA,1,Nice,Ligue 1,21
202,Enis Bardhi,MKD,2,Levante,La Liga,26
203,Francesco Bardi,ITA,4,Bologna,Serie A,30
204,Keidi Bare,ALB,2,Espanyol,La Liga,24
205,Nicolò Barella,ITA,2,Inter,Serie A,25
206,Kike Barja,ESP,2,Osasuna,La Liga,25
207,Ross Barkley,ENG,2,Chelsea,Premier League,28
208,Aymen Barkok,MAR,2,Eint Frankfurt,Bundesliga,24
209,Ashley Barnes,ENG,3,Burnley,Premier League,32
210,Harvey Barnes,ENG,3,Leicester City,Premier League,24
211,Antonio Barragán,ESP,1,Elche,La Liga,34
212,Leandro Barreiro Martins,LUX,2,Mainz 05,Bundesliga,22
213,Ander Barrenetxea,ESP,3,Real Sociedad,La Liga,20
214,Jacob Barrett Laursen,DEN,1,Arminia,Bundesliga,27
215,Musa Barrow,GAM,3,Bologna,Serie A,23
216,Abdourahmane Barry,FRA,1,Greuther Fürth,Bundesliga,22
217,Marc Bartra,ESP,1,Betis,La Liga,31
218,Daniele Baselli,ITA,2,Torino,Serie A,30
219,Daniele Baselli,ITA,2,Cagliari,Serie A,30
220,Toma Bai?,CRO,2,Lazio,Serie A,25
221,Toma Bai?,CRO,2,Bordeaux,Ligue 1,25
222,Amine Bassi,FRA,2,Metz,Ligue 1,24
223,Álvaro Bastida,ESP,2,Cádiz,La Liga,18
224,Alessandro Bastoni,ITA,1,Inter,Serie A,23
225,Simone Bastoni,ITA,2,Spezia,Serie A,25
226,Lewis Bate,ENG,2,Leeds United,Premier League,19
227,Rodrigo Battaglia,ARG,2,Mallorca,La Liga,30
228,Maximilian Bauer,GER,1,Greuther Fürth,Bundesliga,22
229,Oliver Baumann,GER,4,Hoffenheim,Bundesliga,31
230,Timo Baumgartl,GER,1,Union Berlin,Bundesliga,26
231,Julian Baumgartlinger,AUT,2,Leverkusen,Bundesliga,34
232,Christoph Baumgartner,AUT,2,Hoffenheim,Bundesliga,22
233,Jon Bautista,ESP,3,Real Sociedad,La Liga,26
234,Mohamed Bayo,GUI,3,Clermont Foot,Ligue 1,23
235,Paul Baysse,FRA,1,Bordeaux,Ligue 1,34
236,Noah Joel Sarenren Bazee,NGA,2,Augsburg,Bundesliga,25
237,Bebé,CPV,3,Rayo Vallecano,La Liga,31
238,Ihlas Bebou,TOG,3,Hoffenheim,Bundesliga,28
239,Rodrigo Becão,BRA,1,Udinese,Serie A,26
240,Mads Bech Sørensen,DEN,1,Brentford,Premier League,23
241,Sheraldo Becker,SUR,3,Union Berlin,Bundesliga,27
242,Jan Bednarek,POL,1,Southampton,Premier League,26
243,Donny van de Beek,NED,2,Manchester Utd,Premier League,25
244,Donny van de Beek,NED,2,Everton,Premier League,25
245,Asmir Begovi?,BIH,4,Everton,Premier League,34
246,Valon Behrami,SUI,2,Genoa,Serie A,37
247,Kevin Behrens,GER,3,Union Berlin,Bundesliga,31
248,Youcef Belaïli,ALG,2,Brest,Ligue 1,30
249,Vid Belec,SVN,4,Salernitana,Serie A,31
250,Ishak Belfodil,ALG,3,Hertha BSC,Bundesliga,30
251,Haris Belkebla,ALG,2,Brest,Ligue 1,28
252,Stefan Bell,GER,1,Mainz 05,Bundesliga,30
253,Armel Bella Kotchap,GER,1,Bochum,Bundesliga,20
254,Raoul Bellanova,ITA,1,Cagliari,Serie A,21
255,Karim Bellarabi,GER,3,Leverkusen,Bundesliga,32
256,Jean-Ricner Bellegarde,FRA,2,Strasbourg,Ligue 1,23
257,Héctor Bellerín,ESP,1,Betis,La Liga,27
258,Jude Bellingham,ENG,2,Dortmund,Bundesliga,18
259,George Bello,USA,1,Arminia,Bundesliga,20
260,Jeanuel Belocian,FRA,1,Rennes,Ligue 1,17
261,Andrea Belotti,ITA,3,Torino,Serie A,28
262,Fran Beltrán,ESP,2,Celta Vigo,La Liga,23
263,Hatem Ben Arfa,FRA,3,Lille,Ligue 1,35
264,Salim Ben Seghir,FRA,3,Marseille,Ligue 1,19
265,Wissam Ben Yedder,FRA,3,Monaco,Ligue 1,31
266,Marco Benassi,ITA,1,Fiorentina,Serie A,27
267,Marco Benassi,ITA,2,Empoli,Serie A,27
268,Darío Benedetto,ARG,3,Marseille,Ligue 1,32
269,Darío Benedetto,ARG,3,Elche,La Liga,32
270,László Bénes,SVK,2,M'Gladbach,Bundesliga,24
271,Walter Benítez,ARG,4,Nice,Ligue 1,29
272,Iker Benito,ESP,2,Osasuna,La Liga,19
273,Loris Benito,SUI,1,Bordeaux,Ligue 1,30
274,Pedro Benito,ESP,3,Cádiz,La Liga,22
275,Filip Benkovi?,CRO,1,Udinese,Serie A,24
276,Ismaël Bennacer,ALG,2,Milan,Serie A,24
277,Keanan Bennetts,ENG,3,M'Gladbach,Bundesliga,23
278,Saïd Benrahma,ALG,3,West Ham,Premier League,26
279,Ramy Bensebaini,ALG,1,M'Gladbach,Bundesliga,27
280,Nabil Bentaleb,ALG,2,Angers,Ligue 1,27
281,Rodrigo Bentancur,URU,2,Tottenham,Premier League,24
282,Rodrigo Bentancur,URU,2,Juventus,Serie A,24
283,Christian Benteke,BEL,3,Crystal Palace,Premier League,31
284,Karim Benzema,FRA,3,Real Madrid,La Liga,34
285,Alessandro Berardi,ITA,4,Hellas Verona,Serie A,31
286,Domenico Berardi,ITA,3,Sassuolo,Serie A,27
287,Yuri Berchiche,ESP,1,Athletic Club,La Liga,32
288,Álex Berenguer,ESP,2,Athletic Club,La Liga,26
289,Bartosz Bereszy?ski,POL,1,Sampdoria,Serie A,29
290,Jóhann Berg Gu?mundsson,ISL,2,Burnley,Premier League,31
291,Patrick Berg,NOR,2,Lens,Ligue 1,24
292,Mitchell van Bergen,NED,3,Reims,Ligue 1,22
293,Steven Bergwijn,NED,3,Tottenham,Premier League,24
294,Etrit Berisha,ALB,4,Torino,Serie A,33
295,Valon Berisha,KVX,2,Reims,Ligue 1,29
296,Federico Bernardeschi,ITA,2,Juventus,Serie A,28
297,Paul Bernardoni,FRA,4,Angers,Ligue 1,25
298,Paul Bernardoni,FRA,4,Saint-Étienne,Ligue 1,25
299,Juan Bernat,ESP,1,Paris S-G,Ligue 1,29
300,Dimitry Bertaud,FRA,4,Montpellier,Ligue 1,23
301,Jason Berthomier,FRA,2,Clermont Foot,Ligue 1,32
302,Nicolò Bertola,ITA,2,Spezia,Serie A,19
303,Ryan Bertrand,ENG,1,Leicester City,Premier League,32
304,Daniel Bessa,ITA,2,Hellas Verona,Serie A,29
305,Beto,GNB,3,Udinese,Serie A,24
306,Louis Beyer,GER,1,M'Gladbach,Bundesliga,22
307,Bartosz Bialek,POL,3,Wolfsburg,Bundesliga,20
308,Giulian Biancone,FRA,1,Troyes,Ligue 1,22
309,Ermin Bi?ak?i?,BIH,1,Hoffenheim,Bundesliga,32
310,Mads Bidstrup,DEN,2,Brentford,Premier League,21
311,Pedro Bigas,ESP,1,Elche,La Liga,31
312,El Bilal Touré,MLI,3,Reims,Ligue 1,20
313,Jean-Claude Billong,CMR,1,Clermont Foot,Ligue 1,28
314,Luis Binks,ENG,1,Bologna,Serie A,20
315,Cristiano Biraghi,ITA,1,Fiorentina,Serie A,29
316,Davide Biraschi,ITA,1,Genoa,Serie A,27
317,Tom Bischof,GER,2,Hoffenheim,Bundesliga,16
318,Yves Bissouma,MLI,2,Brighton,Premier League,25
319,Nathan Bitu Mazala,FRA,1,Paris S-G,Ligue 1,19
320,Marco Bizot,NED,4,Brest,Ligue 1,31
321,Bjarki Bjarkason,ISL,3,Venezia,Serie A,22
322,Blanco,ESP,2,Real Madrid,La Liga,21
323,Ludovic Blas,FRA,2,Nantes,Ligue 1,24
324,Danny Blum,GER,3,Bochum,Bundesliga,31
325,Myron Boadu,NED,3,Monaco,Ligue 1,21
326,Jérôme Boateng,GER,1,Lyon,Ligue 1,33
327,Kevin-Prince Boateng,GHA,2,Hertha BSC,Bundesliga,35
328,Antonin Bobichon,FRA,2,Angers,Ligue 1,26
329,Herbert Bockhorn,GER,1,Bochum,Bundesliga,27
330,Jean-Paul Boëtius,NED,2,Mainz 05,Bundesliga,28
331,Jeremie Boga,CIV,3,Sassuolo,Serie A,25
332,Jeremie Boga,CIV,3,Atalanta,Serie A,25
333,Luka Bogdan,CRO,1,Salernitana,Serie A,26
334,Emil Bohinen,NOR,2,Salernitana,Serie A,23
335,Quentin Boisgard,FRA,2,Lorient,Ligue 1,25
336,Charles Boli,FRA,2,Lens,Ligue 1,23
337,Willy Boly,CIV,1,Wolves,Premier League,31
338,Giacomo Bonaventura,ITA,2,Fiorentina,Serie A,32
339,Federico Bonazzoli,ITA,3,Salernitana,Serie A,25
340,Tarsis Bonga,GER,3,Bochum,Bundesliga,25
341,Kevin Bonifazi,ITA,1,Bologna,Serie A,26
342,Solomon Bonnah,NED,1,RB Leipzig,Bundesliga,18
343,Leonardo Bonucci,ITA,1,Juventus,Serie A,35
344,Sebastiaan Bornauw,BEL,1,Wolfsburg,Bundesliga,23
345,Rafael Borré,COL,3,Eint Frankfurt,Bundesliga,26
346,Sven Botman,NED,1,Lille,Ligue 1,22
347,Denis Bouanga,GAB,3,Saint-Étienne,Ligue 1,27
348,Hicham Boudaoui,ALG,2,Nice,Ligue 1,22
349,Ryad Boudebouz,ALG,2,Saint-Étienne,Ligue 1,32
350,Sofiane Boufal,MAR,3,Angers,Ligue 1,28
351,Farid Boulaya,ALG,2,Metz,Ligue 1,29
352,Yassine Bounou,MAR,4,Sevilla,La Liga,31
353,Ismaëlben Boura,FRA,1,Lens,Ligue 1,21
354,Mehdi Bourabia,MAR,2,Spezia,Serie A,30
355,Benjamin Bourigeaud,FRA,3,Rennes,Ligue 1,28
