,Player,Value,Nation,Pos,Pos2,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,stats_id,player_id,predicted_value
0,Max Aarons,0,ENG,1,N/A,Norwich City,Premier League,22,34.0,32.0,2881.0,0.0,0.41,0.06,15.4,0.0,20.5,0.0,0.0,0.0,34.0,75.5,90.0,77.0,45.2,0.06,1.13,0.25,45.0,0.84,5.41,0.59,1.41,0.0,4.91,29.0,1.63,1.19,0.16,1.56,0.59,0.0,1.16,63.8,13.6,2.69,0.69,0.03,1.75,3.91,5.06,23.3,23.8,15.0,1.03,2.44,42.3,33.9,199.4,121.7,0.94,32.4,89.9,0.25,0.0,0.0,0.97,1.84,0.03,1.41,0.06,0.03,0.47,1.59,22.7,1,1,481916659.7155987
1,Yunis Abdelhamid,800000,MAR,1,N/A,Reims,Ligue 1,34,34.0,34.0,2983.0,0.06,0.54,0.18,33.3,0.11,18.7,0.0,0.0,0.0,38.7,82.4,89.9,89.4,61.7,0.0,0.18,0.0,47.0,2.45,5.68,1.66,0.06,0.0,31.7,12.1,1.24,0.63,0.03,1.24,0.6,0.03,0.39,48.1,13.6,1.87,0.79,0.06,3.11,4.98,8.28,32.8,25.7,2.9,0.48,0.66,72.7,35.7,204.7,115.5,0.39,36.3,96.9,0.15,0.03,0.0,1.3,0.73,0.0,0.06,0.03,0.0,2.02,1.36,59.8,2,2,183898012.00792727
2,Salis Abdul Samed,1300000000,GHA,2,N/A,Clermont Foot,Ligue 1,22,31.0,29.0,2462.0,0.04,0.66,0.18,27.8,0.06,20.3,0.0,0.0,0.0,55.9,91.7,93.5,94.9,86.0,0.0,0.47,0.04,61.0,0.58,8.03,0.8,0.36,0.0,4.82,53.1,1.24,1.46,0.04,0.91,0.91,0.18,0.69,32.2,23.4,0.99,0.04,0.0,1.86,3.87,2.01,22.7,41.8,10.9,0.99,1.53,64.3,53.5,246.5,106.3,1.46,54.2,92.5,0.44,0.11,0.07,1.64,1.28,0.0,0.36,0.0,0.0,0.88,0.88,50.0,3,3,2190985257.1053753
3,Laurent Abergel,300000000,FRA,2,N/A,Lorient,Ligue 1,29,34.0,34.0,2956.0,0.0,0.91,0.21,23.3,0.0,22.6,0.0,0.0,0.0,40.7,81.6,88.6,87.9,66.6,0.06,0.58,0.18,49.8,0.64,9.48,1.49,0.79,0.03,4.48,43.9,1.83,2.01,0.15,1.49,1.71,0.37,1.8,36.2,28.0,1.68,0.09,0.0,2.56,6.13,0.67,13.7,40.3,11.6,1.28,1.98,64.6,45.7,171.9,86.4,1.46,43.0,93.0,0.27,0.0,0.0,1.4,2.07,0.03,0.79,0.0,0.0,0.43,0.43,50.0,4,4,353414412.28451157
4,Charles Abi,0,FRA,3,N/A,Saint-Étienne,Ligue 1,22,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,50.0,33.3,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,2.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0,18.0,118.0,18.0,0.0,16.0,66.7,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,100.0,5,5,86430058.81241973
5,Dickson Abiama,0,NGA,3,N/A,Greuther Fürth,Bundesliga,23,24.0,5.0,726.0,0.0,2.22,0.49,22.2,0.0,15.6,0.0,0.0,0.0,11.1,64.7,69.2,65.8,50.0,0.12,0.74,0.0,17.2,0.12,5.19,0.25,0.25,0.0,3.33,9.38,0.62,2.47,0.25,0.37,0.86,0.49,0.25,18.2,23.5,1.23,0.37,0.0,0.99,2.72,1.11,3.46,15.6,15.6,0.74,2.22,33.3,19.0,74.7,40.2,1.36,21.1,51.0,0.37,0.0,0.0,2.22,1.48,1.85,0.25,0.0,0.0,2.72,4.94,35.5,6,6,452537100.6532002
6,Matthis Abline,400000000,FRA,3,N/A,Rennes,Ligue 1,19,7.0,1.0,103.0,0.0,1.82,0.0,0.0,0.0,8.6,0.0,0.0,0.0,7.27,80.0,66.7,100.0,0.0,0.0,0.91,0.0,9.09,0.0,3.64,0.0,0.91,0.0,2.73,6.36,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,23.6,1.82,0.0,0.0,0.91,0.91,1.82,1.82,10.0,10.9,0.91,1.82,50.0,16.4,61.8,31.8,4.55,11.8,33.3,0.0,0.0,0.0,1.82,0.91,0.0,0.91,0.0,0.0,0.0,1.82,0.0,7,7,157849057.10227212
7,Tammy Abraham,4500000000,ENG,3,N/A,Roma,Serie A,24,37.0,36.0,3084.0,0.5,2.71,0.93,34.4,0.15,12.2,0.06,0.09,0.09,14.6,72.0,76.2,69.2,80.0,0.12,0.82,0.12,20.2,0.17,5.92,0.32,0.7,0.0,1.84,14.1,1.02,2.33,0.35,0.29,0.44,0.26,0.29,43.5,13.6,0.96,0.32,0.0,0.44,1.43,0.96,2.54,16.3,15.2,1.08,2.22,48.7,18.0,76.8,39.4,1.28,22.4,54.3,0.26,0.0,0.0,1.25,1.46,0.5,0.7,0.03,0.0,2.39,2.89,45.3,8,8,3491598773.5972824
8,Luis Abram,0,PER,1,N/A,Granada,La Liga,26,8.0,6.0,560.0,0.0,0.32,0.0,0.0,0.0,7.0,0.0,0.0,0.0,31.3,88.2,91.3,92.7,75.0,0.0,0.0,0.0,35.5,0.81,1.61,1.13,0.0,0.0,29.2,3.55,0.32,0.48,0.16,0.81,0.16,0.16,0.48,75.0,5.65,2.1,0.81,0.32,1.77,2.9,10.2,30.0,18.2,1.13,0.0,0.0,0.0,25.2,129.5,77.1,0.0,29.4,97.3,0.32,0.0,0.0,0.81,0.81,0.0,0.0,0.0,0.16,1.94,2.42,44.4,9,9,149802344.03939876
9,Francesco Acerbi,400000000,ITA,1,N/A,Lazio,Serie A,34,30.0,29.0,2536.0,0.14,0.57,0.25,43.8,0.25,9.2,0.0,0.0,0.0,64.3,90.3,93.1,94.4,77.1,0.0,0.21,0.0,71.1,2.2,5.96,2.66,0.04,0.0,54.1,12.2,0.85,0.64,0.07,0.64,0.32,0.0,0.32,45.0,5.85,1.7,1.06,0.0,1.7,2.66,12.3,42.0,41.4,2.3,0.11,0.14,75.0,52.4,284.8,161.6,0.11,57.8,98.3,0.07,0.04,0.0,0.71,0.67,0.14,0.04,0.0,0.0,2.84,1.6,64.0,10,10,448065738.2048158
