,Player,Value,Nation,Pos,Pos2,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,stats_id,player_id
1,Yunis Abdelhamid,800000,MAR,1,N/A,Reims,Ligue 1,34,34.0,34.0,2983.0,0.06,0.54,0.18,33.3,0.11,18.7,0.0,0.0,0.0,38.7,82.4,89.9,89.4,61.7,0.0,0.18,0.0,47.0,2.45,5.68,1.66,0.06,0.0,31.7,12.1,1.24,0.63,0.03,1.24,0.6,0.03,0.39,48.1,13.6,1.87,0.79,0.06,3.11,4.98,8.28,32.8,25.7,2.9,0.48,0.66,72.7,35.7,204.7,115.5,0.39,36.3,96.9,0.15,0.03,0.0,1.3,0.73,0.0,0.06,0.03,0.0,2.02,1.36,59.8,2,2
2,Salis Abdul Samed,1300000000,GHA,2,N/A,Clermont Foot,Ligue 1,22,31.0,29.0,2462.0,0.04,0.66,0.18,27.8,0.06,20.3,0.0,0.0,0.0,55.9,91.7,93.5,94.9,86.0,0.0,0.47,0.04,61.0,0.58,8.03,0.8,0.36,0.0,4.82,53.1,1.24,1.46,0.04,0.91,0.91,0.18,0.69,32.2,23.4,0.99,0.04,0.0,1.86,3.87,2.01,22.7,41.8,10.9,0.99,1.53,64.3,53.5,246.5,106.3,1.46,54.2,92.5,0.44,0.11,0.07,1.64,1.28,0.0,0.36,0.0,0.0,0.88,0.88,50.0,3,3
3,Laurent Abergel,300000000,FRA,2,N/A,Lorient,Ligue 1,29,34.0,34.0,2956.0,0.0,0.91,0.21,23.3,0.0,22.6,0.0,0.0,0.0,40.7,81.6,88.6,87.9,66.6,0.06,0.58,0.18,49.8,0.64,9.48,1.49,0.79,0.03,4.48,43.9,1.83,2.01,0.15,1.49,1.71,0.37,1.8,36.2,28.0,1.68,0.09,0.0,2.56,6.13,0.67,13.7,40.3,11.6,1.28,1.98,64.6,45.7,171.9,86.4,1.46,43.0,93.0,0.27,0.0,0.0,1.4,2.07,0.03,0.79,0.0,0.0,0.43,0.43,50.0,4,4
6,Matthis Abline,400000000,FRA,3,N/A,Rennes,Ligue 1,19,7.0,1.0,103.0,0.0,1.82,0.0,0.0,0.0,8.6,0.0,0.0,0.0,7.27,80.0,66.7,100.0,0.0,0.0,0.91,0.0,9.09,0.0,3.64,0.0,0.91,0.0,2.73,6.36,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,23.6,1.82,0.0,0.0,0.91,0.91,1.82,1.82,10.0,10.9,0.91,1.82,50.0,16.4,61.8,31.8,4.55,11.8,33.3,0.0,0.0,0.0,1.82,0.91,0.0,0.91,0.0,0.0,0.0,1.82,0.0,7,7
7,Tammy Abraham,4500000000,ENG,3,N/A,Roma,Serie A,24,37.0,36.0,3084.0,0.5,2.71,0.93,34.4,0.15,12.2,0.06,0.09,0.09,14.6,72.0,76.2,69.2,80.0,0.12,0.82,0.12,20.2,0.17,5.92,0.32,0.7,0.0,1.84,14.1,1.02,2.33,0.35,0.29,0.44,0.26,0.29,43.5,13.6,0.96,0.32,0.0,0.44,1.43,0.96,2.54,16.3,15.2,1.08,2.22,48.7,18.0,76.8,39.4,1.28,22.4,54.3,0.26,0.0,0.0,1.25,1.46,0.5,0.7,0.03,0.0,2.39,2.89,45.3,8,8
9,Francesco Acerbi,400000000,ITA,1,N/A,Lazio,Serie A,34,30.0,29.0,2536.0,0.14,0.57,0.25,43.8,0.25,9.2,0.0,0.0,0.0,64.3,90.3,93.1,94.4,77.1,0.0,0.21,0.0,71.1,2.2,5.96,2.66,0.04,0.0,54.1,12.2,0.85,0.64,0.07,0.64,0.32,0.0,0.32,45.0,5.85,1.7,1.06,0.0,1.7,2.66,12.3,42.0,41.4,2.3,0.11,0.14,75.0,52.4,284.8,161.6,0.11,57.8,98.3,0.07,0.04,0.0,0.71,0.67,0.14,0.04,0.0,0.0,2.84,1.6,64.0,10,10
12,Marcos Acuña,1200000000,ARG,1,N/A,Sevilla,La Liga,30,31.0,26.0,2260.0,0.04,0.68,0.2,29.4,0.06,22.1,0.04,0.0,0.0,62.3,79.4,93.1,84.9,58.0,0.12,1.67,0.92,78.5,2.39,6.77,4.22,4.94,1.59,58.5,7.69,2.47,2.63,0.12,1.31,0.6,0.4,0.84,60.0,11.7,1.43,0.16,0.0,1.24,3.55,2.75,27.5,41.3,25.6,1.79,2.59,69.2,59.4,292.9,178.4,1.08,59.2,95.3,0.4,0.0,0.0,1.63,2.15,0.0,4.94,0.04,0.0,1.31,1.47,47.1,13,13
14,Tyler Adams,2000000000,USA,2,N/A,RB Leipzig,Bundesliga,23,24.0,12.0,1351.0,0.0,0.13,0.0,0.0,0.0,19.4,0.0,0.0,0.0,52.8,86.7,91.3,89.8,72.3,0.07,0.67,0.0,60.9,1.67,10.1,0.4,0.2,0.0,8.67,46.8,1.6,1.67,0.27,0.4,1.13,0.2,0.53,28.6,21.7,2.13,0.07,0.0,1.53,3.27,1.93,15.2,47.9,12.7,0.67,1.13,58.8,48.0,229.6,116.7,1.13,49.4,92.4,0.33,0.0,0.0,1.33,1.2,0.0,0.2,0.0,0.0,1.53,0.8,65.7,15,15
15,Sargis Adamyan,200000000,ARM,3,MF,Hoffenheim,Bundesliga,29,13.0,2.0,331.0,0.27,0.81,0.54,66.7,0.33,16.7,0.0,0.0,0.0,19.7,74.5,84.4,76.3,62.5,0.0,1.08,0.54,26.5,0.0,7.3,0.0,1.62,0.0,5.14,15.9,1.35,2.97,0.27,2.16,1.08,0.27,1.35,38.5,21.9,1.35,0.0,0.0,0.81,4.32,1.08,7.3,18.1,17.8,1.62,2.43,66.7,28.1,136.2,55.9,3.51,25.9,63.2,0.0,0.0,0.0,1.62,2.43,1.08,1.62,0.0,0.0,1.35,3.51,27.8,16,16
17,Amine Adli,1500000000,FRA,3,MF,Leverkusen,Bundesliga,22,25.0,13.0,1256.0,0.21,2.71,1.36,50.0,0.08,15.3,0.0,0.0,0.0,28.0,75.4,84.1,75.1,45.2,0.14,1.14,0.57,37.1,0.14,8.21,0.36,1.86,0.14,29.9,4.29,2.79,3.36,0.5,1.0,1.29,0.43,1.21,58.6,21.4,2.5,0.29,0.0,1.21,3.93,0.71,8.93,28.6,20.8,1.71,3.21,53.3,40.1,224.8,136.9,2.36,39.0,74.5,0.21,0.0,0.0,1.93,2.29,0.57,1.86,0.0,0.0,1.36,2.5,35.2,18,18
