,Player Name,Player Age,Value
0,Aaron Appindangoyé,31,575000
1,Aaron Cresswell,33,250000000
2,Aaron Hickey,20,1800000000
3,Aaron Kiil Olsen,21,350000
4,Aaron Meijers,35,250000
5,Aaron Mooy,32,400000000
6,Aaron Ramsdale,24,3800000000
7,Aaron Ramsey,32,300000000
8,Aaron Tshibola,28,350000
9,Aaron Wan-Bissaka,25,2200000000
10,Aaron Zehnter,18,300000
11,Aarón Martín,25,700000000
12,Abakar Sylla,20,900000000
13,Abdallah Gning,24,600000
14,Abdallah Sima,21,700000000
15,Abdallahi Mahmoud,22,600000
16,Abde Ezzalzouli,21,800000000
17,Abdel Medioub,25,500000
18,Abdel Zagré,19,100000
19,Abdelaye Diakite,33,150000
20,Abdelhamid Sabiri,26,300000000
21,Abdelkahar Kadri,22,180000000
22,Abdelkarim Mammar Chaouche,26,350000
23,Abdelrahman Boudah,23,900000
24,Abdihakin Ali,21,0
25,Abdou Diallo,26,1500000000
26,Abdou Harroui,25,300000000
27,Abdoulaye Bamba,32,400000
28,Abdoulaye Dabo,22,500000
29,Abdoulaye Doucouré,30,1200000000
30,Abdoulaye Kamara,18,100000000
31,Abdoulaye Sissako,24,750000
32,Abdoulaye Sylla,23,800000
33,Abdoulaye Traoré,19,50000
34,Abdu Conté,25,250000000
35,Abdul Khalili,30,700000
36,Abdul Mumin,24,150000000
37,Abdul Nurudeen,24,400000
38,Abdul Rashid Fuseini,19,50000
39,Abdul Zubairu,24,250000
40,Abdulkadir Parmak,28,120000000
41,Abdulkadir Tasdan,19,50000
42,Abdulkerim Cakar,22,100000
43,Abdulla Abdullaev,21,50000
44,Abdurrahim Dursun,24,375000
45,Abdussalam Magashy,25,400000
46,Abdón Prats,30,120000000
47,Abdülkadir Ömür,23,900000000
48,Abdülkerim Bardakci,28,550000000
49,Abel Ruiz,23,800000000
50,Abner,22,800000000
51,Abou Ba,24,450000
52,Aboubacar Doumbia,23,300000
53,Aboubacar Toungara,28,700000
54,Aboubakar Kamara,28,350000000
55,Aboubakar Keita,25,300000
56,Aboubakary Koita,24,600000
57,Abraham González,37,150000
58,Abu Francis,21,900000
59,Abubakar Inalkaev,18,50000
60,Abundance Salaou,18,350000
61,Achilleas Poungouras,27,700000
62,Achraf Dari,23,250000000
63,Achraf Douiri,23,200000
64,Achraf Hakimi,24,7000000000
65,Adalberto Peñaranda,25,600000
66,Adam Andersson,26,700000
67,Adam Armstrong,26,1200000000
68,Adam Buksa,26,700000000
69,Adam Carlén,22,600000
70,Adam Chrzanowski,24,350000
71,Adam Cicovsky,20,200000
72,Adam Ciz,19,25000
73,Adam Daghim,17,150000
74,Adam Debinski,18,25000
75,Adam Deja,29,250000
76,Adam Devine,20,250000
77,Adam Forshaw,31,180000000
78,Adam Fousek,29,250000
79,Adam Gabriel,21,250000
80,Adam Gnezda Cerin,23,200000000
81,Adam Goljan,21,150000
82,Adam Hlousek,34,150000
83,Adam Hlozek,20,1500000000
84,Adam Ingi Benediktsson,20,200000
85,Adam Jakubech,26,400000
86,Adam Janos,30,300000
87,Adam Kadlec,19,25000
88,Adam Karabec,19,250000000
89,Adam Lallana,34,150000000
90,Adam Lupac,22,150000
91,Adam Marusic,30,750000000
92,Adam Masina,29,250000000
93,Adam Matthews,31,500000
94,Adam Montgomery,20,500000
95,Adam Nemec,37,350000
96,Adam Ounas,26,800000000
97,Adam Petersson,22,100000
98,Adam Ratajczyk,20,450000
99,Adam Richter,24,225000
100,Adam Ritter,20,150000
101,Adam Smith,31,150000000
102,Adam Stahl,28,500000
103,Adam Stejskal,21,325000
104,Adam Sörensen,22,400000
105,Adam Tzanetopoulos,28,250000
106,Adam Vendelbo,20,50000
107,Adam Vlkanova,28,250000000
108,Adam Webster,28,2200000000
109,Adam Wikman,19,150000
110,Adam Zadrazil,22,200000
111,Adam Zrelak,28,800000
112,Adama Soumaoro,30,350000000
113,Adama Traoré,27,1200000000
114,Adamo Nagalo,20,150000000
115,Adel Bettaieb,26,200000
116,Adem Ljajić,31,800000
117,Adem Zorgane,23,600000000
118,Ademola Lookman,25,3000000000
119,Aderinsola Habib Eseola,31,300000
120,Aderllan Santos,34,300000
121,Adi Mehremic,30,150000
122,Adi Nalic,25,700000
123,Adil Aouchiche,20,300000000
124,Adil Auassar,36,200000
125,Adil Demirbag,25,250000000
126,Adil Rami,37,300000
127,Adil Taoui,21,400000
128,Adis Jasic,20,200000000
129,Admir Mehmedi,32,500000
130,Adnan Aganovic,35,350000
131,Adnan Januzaj,28,700000000
132,Adnan Maric,26,225000
133,Adnan Ugur,21,400000
134,Adnane Abid,19,150000
135,Ado Onaiwu,27,150000000
136,Adolfo Gaich,24,180000000
137,Adrian Balan,33,600000
138,Adrian Bukowski,20,200000
