,Player Name,Player Age,Value,Team,Position,Nationality
4000,Aaron Appindangoyé,31,€575k, Sivasspor ,Centre-Back,Gabon
202,Aaron Cresswell,33,€2.50m, West Ham United ,Left-Back,England
418,Aaron Hickey,20,€18.00m, Brentford FC ,Left-Back,Scotland
9925,Aaron Kiil Olsen,21,€350k, Vålerenga Fotball ,Centre-Back,Norway
3445,Aaron Meijers,35,€250k, Sparta Rotterdam ,Left-Back,Netherlands
5871,Aaron Mooy,32,€4.00m, Celtic FC ,Central Midfield,Australia
56,Aaron Ramsdale,24,€38.00m, Arsenal FC ,Goalkeeper,England
2228,Aaron Ramsey,32,€3.00m, OGC Nice ,Central Midfield,Wales
10463,Aaron Tshibola,28,€350k, AEL Limassol ,Central Midfield,DR Congo
122,Aaron Wan-Bissaka,25,€22.00m, Manchester United ,Right-Back,England
1880,Aaron Zehnter,18,€300k, FC Augsburg ,Left-Back,Germany
1939,Aarón Martín,25,€7.00m, 1.FSV Mainz 05 ,Left-Back,Spain
4162,Abakar Sylla,20,€9.00m, Club Brugge KV ,Centre-Back,Cote d'Ivoire
8812,Abdallah Gning,24,€600k, FK Teplice ,Centre-Forward,Senegal
2546,Abdallah Sima,21,€7.00m, Angers SCO ,Right Winger,Senegal
7909,Abdallahi Mahmoud,22,€600k, NK Istra 1961 ,Central Midfield,Mauritania
817,Abde Ezzalzouli,21,€8.00m, CA Osasuna ,Left Winger,Morocco
10356,Abdel Medioub,25,€500k, Aris Limassol ,Centre-Back,Algeria
6814,Abdel Zagré,19,€100k, FC Sion ,Centre-Forward,Burkina Faso
10519,Abdelaye Diakite,33,€150k, Nea Salamina Famagusta ,Centre-Back,Mali
1554,Abdelhamid Sabiri,26,€3.00m, UC Sampdoria ,Attacking Midfield,Morocco
4518,Abdelkahar Kadri,22,€1.80m, KV Kortrijk ,Attacking Midfield,Algeria
9701,Abdelkarim Mammar Chaouche,26,€350k, Degerfors IF ,Centre-Back,Sweden
9477,Abdelrahman Boudah,23,€900k, Hammarby IF ,Left Winger,Sweden
9498,Abdihakin Ali,21, , AIK Solna ,Central Midfield,Sweden
1657,Abdou Diallo,26,€15.00m, RB Leipzig ,Centre-Back,Senegal
