,Player Name,Player Age,Value,Team,Nationality,Position
0,Ederson,29,€45.00m, Manchester City ,Brazil,Goalkeeper
1,Stefan Ortega,30,€6.00m, Manchester City ,Germany,Goalkeeper
2,Scott Carson,37,€250k, Manchester City ,England,Goalkeeper
3,Rúben Dias,25,€75.00m, Manchester City ,Portugal,Centre-Back
4,Nathan Aké,28,€35.00m, Manchester City ,Netherlands,Centre-Back
5,John Stones,28,€30.00m, Manchester City ,England,Centre-Back
6,Aymeric Laporte,28,€30.00m, Manchester City ,Spain,Centre-Back
7,Manuel Akanji,27,€30.00m, Manchester City ,Switzerland,Centre-Back
8,Sergio Gómez,22,€15.00m, Manchester City ,Spain,Left-Back
9,Benjamin Mendy,28, , Manchester City ,France,Left-Back
10,Kyle Walker,32,€15.00m, Manchester City ,England,Right-Back
11,Rico Lewis,18,€15.00m, Manchester City ,England,Right-Back
12,Rodri,26,€80.00m, Manchester City ,Spain,Defensive Midfield
13,Kalvin Phillips,27,€35.00m, Manchester City ,England,Defensive Midfield
14,Máximo Perrone,20,€10.00m, Manchester City ,Argentina,Defensive Midfield
15,Ilkay Gündogan,32,€25.00m, Manchester City ,Germany,Central Midfield
16,Kevin De Bruyne,31,€80.00m, Manchester City ,Belgium,Attacking Midfield
17,Bernardo Silva,28,€80.00m, Manchester City ,Portugal,Attacking Midfield
18,Cole Palmer,20,€15.00m, Manchester City ,England,Attacking Midfield
19,Phil Foden,22,€110.00m, Manchester City ,England,Left Winger
20,Jack Grealish,27,€70.00m, Manchester City ,England,Left Winger
21,Riyad Mahrez,32,€30.00m, Manchester City ,Algeria,Right Winger
22,Erling Haaland,22,€170.00m, Manchester City ,Norway,Centre-Forward
23,Julián Álvarez,23,€50.00m, Manchester City ,Argentina,Centre-Forward
24,Edouard Mendy,31,€18.00m, Chelsea FC ,Senegal,Goalkeeper
25,Kepa Arrizabalaga,28,€15.00m, Chelsea FC ,Spain,Goalkeeper
26,Gabriel Slonina,18,€8.00m, Chelsea FC ,United States,Goalkeeper
27,Marcus Bettinelli,30,€2.00m, Chelsea FC ,England,Goalkeeper
28,Wesley Fofana,22,€65.00m, Chelsea FC ,France,Centre-Back
29,Benoît Badiashile,22,€40.00m, Chelsea FC ,France,Centre-Back
30,Kalidou Koulibaly,31,€25.00m, Chelsea FC ,Senegal,Centre-Back
31,Trevoh Chalobah,23,€22.00m, Chelsea FC ,England,Centre-Back
32,Thiago Silva,38,€2.50m, Chelsea FC ,Brazil,Centre-Back
33,Marc Cucurella,24,€40.00m, Chelsea FC ,Spain,Left-Back
34,Ben Chilwell,26,€35.00m, Chelsea FC ,England,Left-Back
35,Lewis Hall,18,€8.00m, Chelsea FC ,England,Left-Back
36,Reece James,23,€70.00m, Chelsea FC ,England,Right-Back
37,César Azpilicueta,33,€8.00m, Chelsea FC ,Spain,Right-Back
38,Enzo Fernández,22,€85.00m, Chelsea FC ,Argentina,Defensive Midfield
39,N'Golo Kanté,32,€20.00m, Chelsea FC ,France,Defensive Midfield
40,Denis Zakaria,26,€20.00m, Chelsea FC ,Switzerland,Defensive Midfield
41,Mateo Kovacic,28,€40.00m, Chelsea FC ,Croatia,Central Midfield
42,Conor Gallagher,23,€32.00m, Chelsea FC ,England,Central Midfield
43,Ruben Loftus-Cheek,27,€25.00m, Chelsea FC ,England,Central Midfield
44,Carney Chukwuemeka,19,€15.00m, Chelsea FC ,England,Central Midfield
45,Mason Mount,24,€65.00m, Chelsea FC ,England,Attacking Midfield
46,Kai Havertz,23,€60.00m, Chelsea FC ,Germany,Attacking Midfield
47,Mykhaylo Mudryk,22,€60.00m, Chelsea FC ,Ukraine,Left Winger
48,Raheem Sterling,28,€60.00m, Chelsea FC ,England,Left Winger
49,Christian Pulisic,24,€32.00m, Chelsea FC ,United States,Right Winger
50,Noni Madueke,21,€28.00m, Chelsea FC ,England,Right Winger
51,Hakim Ziyech,30,€18.00m, Chelsea FC ,Morocco,Right Winger
52,João Félix,23,€50.00m, Chelsea FC ,Portugal,Second Striker
53,Armando Broja,21,€30.00m, Chelsea FC ,Albania,Centre-Forward
54,David Datro Fofana,20,€10.00m, Chelsea FC ,Cote d'Ivoire,Centre-Forward
55,Pierre-Emerick Aubameyang,33,€7.00m, Chelsea FC ,Gabon,Centre-Forward
56,Aaron Ramsdale,24,€38.00m, Arsenal FC ,England,Goalkeeper
57,Matt Turner,28,€5.00m, Arsenal FC ,United States,Goalkeeper
58,William Saliba,22,€55.00m, Arsenal FC ,France,Centre-Back
59,Gabriel Magalhães,25,€50.00m, Arsenal FC ,Brazil,Centre-Back
60,Jakub Kiwior,23,€20.00m, Arsenal FC ,Poland,Centre-Back
61,Rob Holding,27,€10.00m, Arsenal FC ,England,Centre-Back
62,Oleksandr Zinchenko,26,€40.00m, Arsenal FC ,Ukraine,Left-Back
63,Kieran Tierney,25,€25.00m, Arsenal FC ,Scotland,Left-Back
64,Ben White,25,€50.00m, Arsenal FC ,England,Right-Back
65,Takehiro Tomiyasu,24,€25.00m, Arsenal FC ,Japan,Right-Back
66,Thomas Partey,29,€38.00m, Arsenal FC ,Ghana,Defensive Midfield
67,Jorginho,31,€35.00m, Arsenal FC ,Italy,Defensive Midfield
68,Mohamed Elneny,30,€9.00m, Arsenal FC ,Egypt,Defensive Midfield
69,Granit Xhaka,30,€28.00m, Arsenal FC ,Switzerland,Central Midfield
70,Martin Ødegaard,24,€80.00m, Arsenal FC ,Norway,Attacking Midfield
71,Emile Smith Rowe,22,€38.00m, Arsenal FC ,England,Attacking Midfield
72,Fábio Vieira,22,€27.00m, Arsenal FC ,Portugal,Attacking Midfield
73,Gabriel Martinelli,21,€70.00m, Arsenal FC ,Brazil,Left Winger
74,Leandro Trossard,28,€30.00m, Arsenal FC ,Belgium,Left Winger
75,Bukayo Saka,21,€110.00m, Arsenal FC ,England,Right Winger
76,Reiss Nelson,23,€7.00m, Arsenal FC ,England,Right Winger
77,Gabriel Jesus,26,€75.00m, Arsenal FC ,Brazil,Centre-Forward
78,Eddie Nketiah,23,€25.00m, Arsenal FC ,England,Centre-Forward
79,Alisson,30,€45.00m, Liverpool FC ,Brazil,Goalkeeper
80,Caoimhín Kelleher,24,€8.00m, Liverpool FC ,Ireland,Goalkeeper
81,Adrián,36,€1.00m, Liverpool FC ,Spain,Goalkeeper
82,Virgil van Dijk,31,€45.00m, Liverpool FC ,Netherlands,Centre-Back
83,Ibrahima Konaté,23,€35.00m, Liverpool FC ,France,Centre-Back
84,Joe Gomez,25,€30.00m, Liverpool FC ,England,Centre-Back
85,Joel Matip,31,€16.00m, Liverpool FC ,Cameroon,Centre-Back
86,Nathaniel Phillips,26,€6.00m, Liverpool FC ,England,Centre-Back
87,Rhys Williams,22,€3.00m, Liverpool FC ,England,Centre-Back
88,Andrew Robertson,29,€48.00m, Liverpool FC ,Scotland,Left-Back
89,Konstantinos Tsimikas,26,€18.00m, Liverpool FC ,Greece,Left-Back
90,Trent Alexander-Arnold,24,€65.00m, Liverpool FC ,England,Right-Back
91,Calvin Ramsay,19,€5.00m, Liverpool FC ,Scotland,Right-Back
92,Fabinho,29,€45.00m, Liverpool FC ,Brazil,Defensive Midfield
93,Stefan Bajcetic,18,€13.00m, Liverpool FC ,Spain,Defensive Midfield
94,Thiago,32,€18.00m, Liverpool FC ,Spain,Central Midfield
95,Naby Keïta,28,€17.00m, Liverpool FC ,Guinea,Central Midfield
96,Curtis Jones,22,€17.00m, Liverpool FC ,England,Central Midfield
97,Arthur Melo,26,€15.00m, Liverpool FC ,Brazil,Central Midfield
98,Jordan Henderson,32,€10.00m, Liverpool FC ,England,Central Midfield
99,Alex Oxlade-Chamberlain,29,€10.00m, Liverpool FC ,England,Central Midfield
100,James Milner,37,€2.00m, Liverpool FC ,England,Central Midfield
101,Harvey Elliott,20,€35.00m, Liverpool FC ,England,Attacking Midfield
102,Fábio Carvalho,20,€20.00m, Liverpool FC ,Portugal,Attacking Midfield
103,Luis Díaz,26,€75.00m, Liverpool FC ,Colombia,Left Winger
104,Cody Gakpo,23,€60.00m, Liverpool FC ,Netherlands,Left Winger
105,Diogo Jota,26,€55.00m, Liverpool FC ,Portugal,Left Winger
106,Mohamed Salah,30,€70.00m, Liverpool FC ,Egypt,Right Winger
107,Darwin Núñez,23,€70.00m, Liverpool FC ,Uruguay,Centre-Forward
108,Roberto Firmino,31,€22.00m, Liverpool FC ,Brazil,Centre-Forward
109,David de Gea,32,€15.00m, Manchester United ,Spain,Goalkeeper
110,Jack Butland,30,€1.50m, Manchester United ,England,Goalkeeper
111,Tom Heaton,36,€600k, Manchester United ,England,Goalkeeper
112,Lisandro Martínez,25,€50.00m, Manchester United ,Argentina,Centre-Back
113,Raphaël Varane,29,€40.00m, Manchester United ,France,Centre-Back
114,Harry Maguire,30,€25.00m, Manchester United ,England,Centre-Back
115,Victor Lindelöf,28,€15.00m, Manchester United ,Sweden,Centre-Back
116,Phil Jones,31,€2.00m, Manchester United ,England,Centre-Back
117,Teden Mengi,20,€2.00m, Manchester United ,England,Centre-Back
118,Luke Shaw,27,€35.00m, Manchester United ,England,Left-Back
119,Tyrell Malacia,23,€22.00m, Manchester United ,Netherlands,Left-Back
120,Brandon Williams,22,€10.00m, Manchester United ,England,Left-Back
121,Diogo Dalot,24,€35.00m, Manchester United ,Portugal,Right-Back
122,Aaron Wan-Bissaka,25,€22.00m, Manchester United ,England,Right-Back
123,Casemiro,31,€50.00m, Manchester United ,Brazil,Defensive Midfield
124,Scott McTominay,26,€25.00m, Manchester United ,Scotland,Defensive Midfield
125,Christian Eriksen,31,€25.00m, Manchester United ,Denmark,Central Midfield
126,Marcel Sabitzer,29,€20.00m, Manchester United ,Austria,Central Midfield
127,Fred,30,€20.00m, Manchester United ,Brazil,Central Midfield
128,Donny van de Beek,25,€17.00m, Manchester United ,Netherlands,Central Midfield
129,Zidane Iqbal,19,€800k, Manchester United ,Iraq,Central Midfield
130,Kobbie Mainoo,17,€800k, Manchester United ,England,Central Midfield
131,Bruno Fernandes,28,€75.00m, Manchester United ,Portugal,Attacking Midfield
132,Marcus Rashford,25,€80.00m, Manchester United ,England,Left Winger
133,Jadon Sancho,23,€55.00m, Manchester United ,England,Left Winger
134,Anthony Elanga,20,€25.00m, Manchester United ,Sweden,Left Winger
135,Alejandro Garnacho,18,€25.00m, Manchester United ,Argentina,Left Winger
136,Antony,23,€70.00m, Manchester United ,Brazil,Right Winger
137,Facundo Pellistri,21,€3.00m, Manchester United ,Uruguay,Right Winger
138,Mason Greenwood,21, , Manchester United ,England,Right Winger
139,Anthony Martial,27,€15.00m, Manchester United ,France,Centre-Forward
140,Wout Weghorst,30,€14.00m, Manchester United ,Netherlands,Centre-Forward
141,Hugo Lloris,36,€4.00m, Tottenham Hotspur ,France,Goalkeeper
142,Fraser Forster,35,€1.50m, Tottenham Hotspur ,England,Goalkeeper
143,Alfie Whiteman,24,€500k, Tottenham Hotspur ,England,Goalkeeper
144,Brandon Austin,24,€300k, Tottenham Hotspur ,England,Goalkeeper
145,Cristian Romero,24,€60.00m, Tottenham Hotspur ,Argentina,Centre-Back
146,Eric Dier,29,€25.00m, Tottenham Hotspur ,England,Centre-Back
147,Davinson Sánchez,26,€20.00m, Tottenham Hotspur ,Colombia,Centre-Back
148,Clément Lenglet,27,€12.00m, Tottenham Hotspur ,France,Centre-Back
149,Japhet Tanganga,24,€9.00m, Tottenham Hotspur ,England,Centre-Back
150,Ben Davies,29,€20.00m, Tottenham Hotspur ,Wales,Left-Back
151,Pedro Porro,23,€35.00m, Tottenham Hotspur ,Spain,Right-Back
152,Emerson Royal,24,€25.00m, Tottenham Hotspur ,Brazil,Right-Back
153,Oliver Skipp,22,€15.00m, Tottenham Hotspur ,England,Defensive Midfield
154,Pierre-Emile Höjbjerg,27,€45.00m, Tottenham Hotspur ,Denmark,Central Midfield
155,Rodrigo Bentancur,25,€40.00m, Tottenham Hotspur ,Uruguay,Central Midfield
156,Yves Bissouma,26,€25.00m, Tottenham Hotspur ,Mali,Central Midfield
157,Pape Matar Sarr,20,€15.00m, Tottenham Hotspur ,Senegal,Central Midfield
158,Ryan Sessegnon,22,€22.00m, Tottenham Hotspur ,England,Left Midfield
159,Ivan Perisic,34,€10.00m, Tottenham Hotspur ,Croatia,Left Midfield
160,Heung-min Son,30,€60.00m, Tottenham Hotspur ,"Korea, South",Left Winger
161,Arnaut Danjuma,26,€27.00m, Tottenham Hotspur ,Netherlands,Left Winger
162,Dejan Kulusevski,22,€55.00m, Tottenham Hotspur ,Sweden,Right Winger
